elapsed_s,speed_kmh
0.0,2.1
1.0,130.2
2.0,139.3
3.0,52.7
4.0,155.9
5.1,119.7
6.1,84.7
7.1,126.7
8.1,125.9
9.1,74.6
10.1,144.9
11.1,63.9
12.1,168.8
13.1,112.5
14.2,100.8
15.2,190.4
16.2,119.7
17.2,244.3
18.2,127.9
19.2,184.6
20.2,113.4
21.2,239.4
22.2,256.9
23.2,100.8
24.2,176.4
25.3,182.4
26.3,146.3
27.3,163.4
28.3,291.5
29.3,166.3
30.3,223.0
31.3,277.9
32.3,172.1
33.3,182.6
34.3,246.4
35.3,100.8
36.4,182.7
37.4,100.8
38.4,193.2
39.4,292.5
40.4,294.0
41.4,275.8
42.4,247.4
43.4,142.8
44.4,148.5
45.4,185.4
46.4,147.9
47.4,268.2
48.5,251.0
49.5,258.5
50.5,159.6
51.5,285.6
52.5,294.0
53.5,282.7
54.5,274.3
55.5,241.4
56.5,120.7
57.5,228.6
58.5,109.2
59.5,217.1
60.5,237.7
61.5,294.0
62.5,294.0
63.6,274.8
64.6,258.2
65.6,131.7
66.6,155.4
67.6,223.4
68.6,178.3
69.6,63.9
70.6,134.4
71.6,260.4
72.6,260.0
73.6,206.1
74.6,217.9
75.6,236.8
76.6,100.8
77.6,216.3
78.6,104.7
79.6,147.1
80.6,158.8
81.7,83.6
82.7,78.3
83.7,88.2
84.7,216.3
85.7,288.0
86.7,294.0
87.7,157.9
88.7,239.8
89.7,145.4
90.7,193.2
91.7,236.6
92.7,255.5
93.7,197.1
94.7,226.0
95.7,149.1
96.7,275.1
97.7,235.7
98.8,96.8
99.8,160.6
100.8,168.0
101.8,262.5
102.8,280.1
103.8,226.0
104.8,294.0
105.8,294.0
106.8,246.1
107.8,94.0
108.9,100.8
109.9,172.8
110.9,294.0
111.9,278.6
112.9,294.0
113.9,294.0
114.9,247.6
115.9,176.7
116.9,294.0
117.9,294.0
118.9,294.0
119.9,289.0
120.9,264.9
121.9,294.0
122.9,294.0
124.0,269.2
125.0,263.3
126.0,213.4
127.0,191.5
128.0,212.5
129.0,90.9
130.0,146.3
131.0,113.3
132.0,74.3
133.0,120.1
134.0,118.0
135.0,110.4
136.0,236.4
137.0,277.3
138.0,246.1
139.1,261.2
140.1,135.2
141.1,205.3
142.1,249.4
143.1,294.0
144.1,152.5
145.1,128.5
146.1,97.4
147.1,164.3
148.1,290.3
149.1,277.6
150.1,294.0
151.1,241.9
152.1,144.9
153.1,215.0
154.1,253.7
155.1,100.8
156.2,222.6
157.2,168.0
158.2,195.3
159.2,255.7
160.2,171.5
161.2,183.3
162.2,275.7
163.2,211.4
164.2,216.0
165.2,233.6
166.2,285.6
167.2,115.5
168.2,243.6
169.2,165.1
170.3,211.7
171.3,264.4
172.3,243.4
173.3,82.1
174.3,167.9
175.3,51.1
176.3,125.8
177.3,49.9
178.3,171.2
179.3,294.0
180.3,275.1
181.3,249.8
182.4,177.1
183.4,294.0
184.4,183.1
185.4,294.0
186.4,286.0
187.4,294.0
188.4,294.0
189.4,294.0
190.4,250.3
191.4,222.1
192.5,203.3
193.5,93.5
194.5,161.3
195.5,102.5
196.5,146.0
197.5,40.7
198.5,58.5
199.5,124.3
200.5,84.0
201.5,124.7
202.6,30.2
203.6,105.4
204.6,45.3
205.6,30.2
206.6,30.2
207.6,147.8
208.6,115.5
209.6,241.5
210.6,278.0
211.6,284.3
212.6,293.3
213.6,294.0
214.7,254.8
215.7,225.7
216.7,284.7
217.7,109.2
218.7,187.3
219.7,186.9
220.7,146.9
221.7,272.9
222.7,292.4
223.7,294.0
224.7,288.3
225.7,249.9
226.7,219.3
227.8,294.0
228.8,294.0
229.8,208.7
230.8,273.8
231.8,273.4
232.8,278.1
233.8,294.0
234.8,265.0
235.8,276.8
236.9,127.7
237.9,186.9
238.9,220.1
239.9,91.1
240.9,146.0
241.9,73.3
242.9,177.9
243.9,113.9
244.9,239.9
245.9,292.0
246.9,290.7
247.9,294.0
248.9,277.6
250.0,227.6
251.0,280.8
252.0,289.0
253.0,294.0
254.0,288.1
255.0,268.3
256.0,236.0
257.0,294.0
258.0,294.0
259.0,195.7
260.0,133.6
261.0,261.7
262.1,193.2
263.1,180.6
264.1,294.0
265.1,282.4
266.1,277.6
267.1,292.7
268.1,294.0
269.1,270.9
270.1,258.3
271.2,283.9
272.2,247.8
273.2,261.7
274.2,294.0
275.2,275.9
276.2,286.4
277.2,254.0
278.2,267.5
279.2,203.9
280.2,294.0
281.2,147.4
282.2,268.4
283.2,294.0
284.3,248.2
285.3,132.4
286.3,186.9
287.3,136.5
288.3,257.1
289.3,285.2
290.3,236.5
291.3,247.0
292.3,283.9
293.3,137.0
294.3,186.5
295.3,166.8
296.4,279.4
297.4,290.9
298.4,269.0
299.4,294.0
300.4,294.0
301.4,259.2
302.4,276.6
303.4,174.4
304.4,182.7
305.4,123.1
306.4,210.2
307.4,277.4
308.4,263.8
309.4,287.6
310.4,286.4
311.4,229.6
312.4,277.0
313.4,294.0
314.4,294.0
