lap,checkpoint,race_time_ms,split_ms
1,0,31703,2363
1,1,32827,1124
1,2,33936,1109
1,3,34885,949
1,4,36627,1742
1,5,37707,1080
1,6,39318,1611
1,7,40529,1211
1,8,41076,547
1,9,42205,1129
1,10,43448,1243
1,11,44755,1307
2,0,45935,1180
2,1,47529,1594
2,2,48552,1023
2,3,49321,769
2,4,50501,1180
2,5,51511,1010
2,6,53080,1569
2,7,54303,1223
2,8,54834,531
2,9,55654,820
2,10,56810,1156
2,11,57948,1138
3,0,59059,1111
3,1,60120,1061
3,2,61251,1131
3,3,62045,794
3,4,63101,1056
3,5,64010,909
3,6,65558,1548
3,7,67295,1737
3,8,68061,766
3,9,68715,654
3,10,69674,959
3,11,70857,1183
4,0,71871,1014
4,1,72850,979
4,2,73837,987
4,3,74647,810
4,4,75750,1103
4,5,76683,933
4,6,78212,1529
4,7,80019,1807
4,8,80715,696
4,9,81409,694
4,10,82318,909
4,11,83454,1136
5,0,84500,1046
5,1,85625,1125
5,2,86636,1011
5,3,87506,870
5,4,88603,1097
5,5,89599,996
5,6,91560,1961
5,7,92720,1160
5,8,93367,647
5,9,94110,743
5,10,95061,951
5,11,96222,1161
6,0,97188,966
6,1,98369,1181
6,2,99448,1079
6,3,100280,832
6,4,101392,1112
6,5,102403,1011
6,6,104008,1605
6,7,105231,1223
6,8,105860,629
6,9,106538,678
6,10,107501,963
6,11,108645,1144
7,0,109625,980
7,1,110750,1125
7,2,111711,961
7,3,112561,850
7,4,113803,1242
7,5,114818,1015
7,6,116250,1432
7,7,117500,1250
7,8,118045,545
7,9,118677,632
7,10,119511,834
7,11,120705,1194
8,0,121781,1076
8,1,122902,1121
8,2,123918,1016
8,3,124766,848
8,4,125851,1085
8,5,126706,855
8,6,127997,1291
8,7,129222,1225
8,8,129756,534
8,9,130923,1167
8,10,132013,1090
8,11,133175,1162
9,0,134266,1091
9,1,135314,1048
9,2,136248,934
9,3,137030,782
9,4,138129,1099
9,5,139039,910
9,6,140435,1396
9,7,141638,1203
9,8,142220,582
9,9,142880,660
9,10,144037,1157
9,11,145369,1332
10,0,146422,1053
10,1,147431,1009
10,2,148519,1088
10,3,149418,899
10,4,150533,1115
10,5,151458,925
10,6,152887,1429
10,7,154166,1279
10,8,154675,509
10,9,155324,649
10,10,156308,984
10,11,157443,1135
