elapsed_s,speed_kmh
0.0,1.7
1.0,102.5
2.0,154.6
3.0,210.7
4.0,215.7
5.0,230.0
6.1,94.9
7.1,197.4
8.1,224.5
9.1,194.0
10.1,190.6
11.1,215.9
12.1,100.8
13.1,201.6
14.1,141.1
15.2,231.0
16.2,131.8
17.2,94.2
18.2,181.0
19.2,219.1
20.2,231.0
21.2,219.4
22.2,231.0
23.2,228.8
24.2,220.0
25.2,210.8
26.2,231.0
27.3,191.5
28.3,231.0
29.3,231.0
30.3,212.8
31.3,223.1
32.3,231.0
33.3,218.8
34.3,219.8
35.3,216.3
36.3,155.2
37.3,100.8
38.4,176.2
39.4,231.0
40.4,212.1
41.4,231.0
42.4,222.1
43.4,231.0
44.4,209.3
45.4,231.0
46.4,231.0
47.4,231.0
48.4,204.0
49.4,100.8
50.4,142.8
51.4,213.4
52.4,220.9
53.5,231.0
54.5,231.0
55.5,231.0
56.5,213.4
57.5,217.6
58.5,205.8
59.5,209.6
60.5,220.9
61.5,151.2
62.5,207.9
63.5,207.3
64.5,231.0
65.5,187.3
66.5,231.0
67.5,227.3
68.6,199.2
69.6,220.5
70.6,231.0
71.6,228.3
72.6,231.0
73.6,146.7
74.6,184.5
75.6,217.1
76.7,230.7
77.7,211.3
78.7,231.0
79.7,231.0
80.7,211.4
81.7,231.0
82.7,231.0
83.7,199.5
84.7,207.1
85.8,226.6
86.8,208.5
87.8,231.0
88.8,231.0
89.8,222.7
90.8,231.0
91.8,231.0
92.8,203.3
93.8,220.8
94.8,226.9
95.8,215.0
96.8,222.6
97.8,231.0
98.9,194.6
99.9,217.7
100.9,165.4
101.9,170.5
102.9,219.2
103.9,231.0
104.9,225.5
105.9,231.0
107.0,219.0
108.0,227.5
109.0,213.5
110.0,224.7
111.0,206.2
112.0,230.6
113.0,221.1
114.0,199.2
115.0,167.3
116.0,231.0
117.0,219.0
118.0,231.0
119.0,231.0
120.0,231.0
121.1,230.8
122.1,231.0
123.1,231.0
124.1,221.4
125.1,219.8
126.1,231.0
127.1,218.1
